id,Количество.комнат,Студия,Общая.площадь,Этаж,Этажей.в.доме,Парковка,Без.ремонта,Дизайнерский,Евроремонт,Косметический,Балкон,Лоджия,Совмещенный.санузел,Раздельный.санузел,Лифт,Грузовой.лифт,Мусоропровод,Год.постройки,Аварийный,Железобетонные.перекрытия,Смешанные.перекрытия,Деревянные.перекрытия,Иные.перекрытия,Панельные.стены,Блочные.стены,Деревянные.стены,Кирпичные.стены,Монолитные.стены,Смешанные.стены,Школа.1000,ВУЗ.1000,ТЦ.1000,Стоматология.1000,Почта.1000,Поликлиника.1000,Парк.1000,Остановка.1000,Одежда..1000,Супер3кет.1000,Кинотеатр.1000,Кафе.1000,АЗС.1000,Детский.сад.1000,Бар.1000,Банк.1000,Аптека.1000,Цена
896,2,0,46.0,3,5,0,0,0,0,1,1,0,1,0,0,0,0,1963,0,1,0,0,0,1,0,0,0,0,0,8,5,2,7,3,1,1,11,2,3,0,7,3,13,2,7,18,2350000.0
399,2,0,44.6,5,5,0,0,0,0,1,1,0,1,0,0,0,0,1969,0,1,0,0,0,1,0,0,0,0,0,3,1,1,5,2,2,1,8,3,5,0,7,3,11,1,4,11,1799000.0
1515,2,0,53.0,1,9,0,1,0,0,0,0,0,0,0,1,0,1,1977,0,1,0,0,0,1,0,0,0,0,0,6,1,5,8,4,6,1,13,4,11,0,5,3,17,3,7,15,2800000.0
1216,2,0,64.0,4,5,0,0,0,1,0,1,0,1,0,0,0,0,1966,0,1,0,0,0,0,0,0,1,0,0,5,25,8,15,3,7,1,16,31,5,1,55,2,10,28,32,17,3970000.0
677,1,0,33.3,1,10,0,0,1,0,0,0,0,1,0,0,2,1,2006,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,2,1,3,0,2,3,9,0,3,6,1880000.0
1210,2,0,46.0,3,4,0,0,0,0,1,1,0,1,0,0,0,0,1960,0,1,0,0,0,0,0,0,1,0,0,7,4,3,16,2,3,3,18,38,6,2,15,0,27,9,11,25,2400000.0
1485,1,0,45.0,8,9,0,1,0,0,0,0,1,1,0,1,0,1,2007,0,1,0,0,0,0,0,0,1,0,0,6,0,3,15,2,5,0,8,8,9,0,8,1,33,4,4,15,2870000.0
1557,2,0,54.5,3,14,0,1,0,0,0,0,1,0,1,1,1,1,1978,0,1,0,0,0,1,0,0,0,0,0,7,4,1,7,3,4,1,17,11,4,1,12,4,15,2,14,14,2700000.0
1482,4,0,86.0,1,10,0,1,0,0,0,0,0,0,0,1,0,1,1994,0,1,0,0,0,1,0,0,0,0,0,4,0,4,27,5,4,1,11,16,11,0,9,2,42,12,10,30,3200000.0
295,2,0,42.0,2,5,0,0,0,0,1,1,0,1,0,0,0,0,1969,0,1,0,0,0,0,0,0,1,0,0,7,11,1,9,3,2,3,3,22,5,0,10,1,13,2,13,17,2560000.0
773,1,0,30.2,3,9,0,0,0,0,1,1,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,1,0,2,2,1,3,2,5,2,1,0,3,4,4,1,1,4,1780000.0
100,2,0,46.0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1961,0,1,0,0,0,0,0,0,1,0,0,12,14,1,15,5,4,3,11,25,6,0,8,3,22,6,13,24,2250000.0
1574,1,0,34.3,6,9,0,1,0,0,0,0,0,0,0,1,0,0,1980,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4,2,0,0,1,3,1,1,0,3,1600000.0
613,2,0,40.3,10,12,0,0,0,1,0,0,1,1,0,1,0,1,1977,0,1,0,0,0,1,0,0,0,0,0,5,0,0,5,2,1,0,9,1,3,0,0,1,11,0,3,8,2400000.0
1615,2,0,48.0,5,5,0,1,0,0,0,1,0,0,1,0,0,0,1974,0,1,0,0,0,1,0,0,0,0,0,6,0,3,5,2,2,1,11,5,2,0,4,2,8,0,5,15,2200000.0
788,3,0,70.0,6,9,0,0,0,0,1,0,1,0,0,1,0,1,1961,0,1,0,0,0,1,0,0,0,0,0,3,0,3,3,1,2,0,4,8,2,0,3,1,5,2,2,5,2950000.0
1002,2,0,48.0,3,5,0,0,0,0,1,1,0,0,1,0,0,0,1980,0,1,0,0,0,1,0,0,0,0,0,5,0,0,5,1,2,0,10,3,3,0,2,2,16,2,4,11,2750000.0
477,2,0,54.0,1,9,0,0,0,0,1,0,1,0,0,2,0,1,1988,0,1,0,0,0,1,0,0,0,0,0,3,1,2,3,0,2,0,2,0,4,0,0,1,8,1,1,4,2400000.0
